{'epoch': 1000, 'lr': 8e-05, 'wd': 0, 'sim_threshold': 0.7, 'loss_p_weight': 0.993, 'loss_d_weight': 0.994, 'loss_weight': 0.002, 'a1': 1e-08, 'a2': 1e-08, 'dropout': 0, 'graph_dropout': 0, 'fr_dim': [4096, [1426, 1024], [681, 256], 4447], 'fd_dim': [2048, [1426, 1024], [681, 256], 4447]}
Epoch: 819 loss: 0.000171, pauc: 0.971022, paupr: 0.904728, paupr_m: 0.869364, dauc: 0.927786, daupr: 0.455670, daupr_m: 0.509188
Epoch: 829 loss: 0.000170, pauc: 0.970988, paupr: 0.904750, paupr_m: 0.869692, dauc: 0.927771, daupr: 0.455821, daupr_m: 0.510659
Epoch: 839 loss: 0.000171, pauc: 0.971209, paupr: 0.904752, paupr_m: 0.869977, dauc: 0.927783, daupr: 0.456031, daupr_m: 0.510795
Epoch: 849 loss: 0.000170, pauc: 0.970958, paupr: 0.904592, paupr_m: 0.870255, dauc: 0.927773, daupr: 0.456232, daupr_m: 0.511836
Epoch: 859 loss: 0.000170, pauc: 0.970807, paupr: 0.904672, paupr_m: 0.869573, dauc: 0.927761, daupr: 0.456783, daupr_m: 0.512962
Epoch: 869 loss: 0.000171, pauc: 0.970960, paupr: 0.904956, paupr_m: 0.869501, dauc: 0.927748, daupr: 0.456925, daupr_m: 0.512917
Epoch: 879 loss: 0.000171, pauc: 0.970824, paupr: 0.904783, paupr_m: 0.869707, dauc: 0.927719, daupr: 0.457114, daupr_m: 0.513268
Epoch: 889 loss: 0.000171, pauc: 0.971256, paupr: 0.904691, paupr_m: 0.869436, dauc: 0.927712, daupr: 0.457287, daupr_m: 0.513253
Epoch: 899 loss: 0.000170, pauc: 0.971284, paupr: 0.904922, paupr_m: 0.869824, dauc: 0.927665, daupr: 0.457308, daupr_m: 0.511940
Epoch: 909 loss: 0.000170, pauc: 0.971395, paupr: 0.904976, paupr_m: 0.870151, dauc: 0.927606, daupr: 0.457473, daupr_m: 0.512415
Epoch: 919 loss: 0.000170, pauc: 0.971252, paupr: 0.904751, paupr_m: 0.870236, dauc: 0.927545, daupr: 0.457564, daupr_m: 0.512534
Epoch: 929 loss: 0.000170, pauc: 0.970985, paupr: 0.904806, paupr_m: 0.870188, dauc: 0.927501, daupr: 0.457815, daupr_m: 0.512504
Epoch: 939 loss: 0.000170, pauc: 0.971118, paupr: 0.904833, paupr_m: 0.870187, dauc: 0.927445, daupr: 0.458063, daupr_m: 0.512674
Epoch: 949 loss: 0.000170, pauc: 0.971138, paupr: 0.904720, paupr_m: 0.870049, dauc: 0.927379, daupr: 0.458407, daupr_m: 0.515800
Epoch: 959 loss: 0.000170, pauc: 0.971294, paupr: 0.904863, paupr_m: 0.870092, dauc: 0.927311, daupr: 0.458809, daupr_m: 0.515924
Epoch: 969 loss: 0.000170, pauc: 0.971597, paupr: 0.904950, paupr_m: 0.870164, dauc: 0.927256, daupr: 0.459006, daupr_m: 0.515951
Epoch: 979 loss: 0.000170, pauc: 0.971503, paupr: 0.904948, paupr_m: 0.870047, dauc: 0.927199, daupr: 0.459278, daupr_m: 0.515927
Epoch: 989 loss: 0.000170, pauc: 0.971302, paupr: 0.904842, paupr_m: 0.870498, dauc: 0.927095, daupr: 0.459511, daupr_m: 0.515770
Epoch: 999 loss: 0.000170, pauc: 0.971621, paupr: 0.905054, paupr_m: 0.870367, dauc: 0.927028, daupr: 0.459594, daupr_m: 0.515770
Epoch: 9 loss: 0.002178, pauc: 0.850122, paupr: 0.298935, paupr_m: 0.413074, dauc: 0.683711, daupr: 0.037649, daupr_m: 0.109652
Epoch: 19 loss: 0.000838, pauc: 0.905917, paupr: 0.586635, paupr_m: 0.639716, dauc: 0.701223, daupr: 0.087970, daupr_m: 0.138141
Epoch: 29 loss: 0.000486, pauc: 0.918781, paupr: 0.667892, paupr_m: 0.732655, dauc: 0.710181, daupr: 0.056543, daupr_m: 0.135586
Epoch: 39 loss: 0.000348, pauc: 0.918964, paupr: 0.693663, paupr_m: 0.753243, dauc: 0.716771, daupr: 0.093231, daupr_m: 0.155618
Epoch: 49 loss: 0.000289, pauc: 0.921183, paupr: 0.716708, paupr_m: 0.775102, dauc: 0.726582, daupr: 0.128262, daupr_m: 0.180223
Epoch: 59 loss: 0.000258, pauc: 0.921540, paupr: 0.729770, paupr_m: 0.780497, dauc: 0.735520, daupr: 0.133727, daupr_m: 0.184261
Epoch: 69 loss: 0.000240, pauc: 0.921913, paupr: 0.738346, paupr_m: 0.785354, dauc: 0.742973, daupr: 0.169388, daupr_m: 0.206313
Epoch: 79 loss: 0.000228, pauc: 0.921811, paupr: 0.744980, paupr_m: 0.787564, dauc: 0.749997, daupr: 0.189468, daupr_m: 0.212204
Epoch: 89 loss: 0.000220, pauc: 0.921470, paupr: 0.750411, paupr_m: 0.792761, dauc: 0.757082, daupr: 0.209806, daupr_m: 0.226118
Epoch: 99 loss: 0.000214, pauc: 0.921661, paupr: 0.754807, paupr_m: 0.794670, dauc: 0.763065, daupr: 0.225060, daupr_m: 0.237823
Epoch: 109 loss: 0.000209, pauc: 0.921320, paupr: 0.757827, paupr_m: 0.795661, dauc: 0.768263, daupr: 0.238397, daupr_m: 0.255759
Epoch: 119 loss: 0.000205, pauc: 0.920881, paupr: 0.760547, paupr_m: 0.796549, dauc: 0.772987, daupr: 0.249116, daupr_m: 0.264753
Epoch: 129 loss: 0.000202, pauc: 0.920461, paupr: 0.762903, paupr_m: 0.798048, dauc: 0.777147, daupr: 0.259626, daupr_m: 0.270862
Epoch: 139 loss: 0.000199, pauc: 0.920180, paupr: 0.764949, paupr_m: 0.798936, dauc: 0.780841, daupr: 0.267481, daupr_m: 0.277000
Epoch: 149 loss: 0.000197, pauc: 0.919958, paupr: 0.766813, paupr_m: 0.799359, dauc: 0.783927, daupr: 0.276527, daupr_m: 0.284843
Epoch: 159 loss: 0.000195, pauc: 0.919785, paupr: 0.768454, paupr_m: 0.799804, dauc: 0.786692, daupr: 0.283782, daupr_m: 0.288933
Epoch: 169 loss: 0.000193, pauc: 0.919625, paupr: 0.769916, paupr_m: 0.800446, dauc: 0.789291, daupr: 0.290185, daupr_m: 0.293784
Epoch: 179 loss: 0.000191, pauc: 0.919443, paupr: 0.771129, paupr_m: 0.800775, dauc: 0.791612, daupr: 0.295774, daupr_m: 0.299715
Epoch: 189 loss: 0.000190, pauc: 0.919246, paupr: 0.772189, paupr_m: 0.801177, dauc: 0.793812, daupr: 0.299380, daupr_m: 0.302292
Epoch: 199 loss: 0.000189, pauc: 0.919012, paupr: 0.773157, paupr_m: 0.802027, dauc: 0.795935, daupr: 0.303269, daupr_m: 0.307693
Epoch: 209 loss: 0.000188, pauc: 0.919002, paupr: 0.773999, paupr_m: 0.802159, dauc: 0.797902, daupr: 0.307127, daupr_m: 0.310575
Epoch: 219 loss: 0.000186, pauc: 0.918744, paupr: 0.774873, paupr_m: 0.802597, dauc: 0.799647, daupr: 0.310501, daupr_m: 0.314043
Epoch: 229 loss: 0.000185, pauc: 0.918564, paupr: 0.775632, paupr_m: 0.803179, dauc: 0.801323, daupr: 0.313350, daupr_m: 0.317168
Epoch: 239 loss: 0.000185, pauc: 0.918466, paupr: 0.776274, paupr_m: 0.802930, dauc: 0.802960, daupr: 0.316034, daupr_m: 0.319010
Epoch: 249 loss: 0.000184, pauc: 0.918489, paupr: 0.776936, paupr_m: 0.803206, dauc: 0.804521, daupr: 0.318299, daupr_m: 0.320310
Epoch: 259 loss: 0.000183, pauc: 0.918240, paupr: 0.777487, paupr_m: 0.803444, dauc: 0.805959, daupr: 0.320404, daupr_m: 0.325594
Epoch: 269 loss: 0.000183, pauc: 0.918228, paupr: 0.778158, paupr_m: 0.804351, dauc: 0.807330, daupr: 0.322168, daupr_m: 0.327382
Epoch: 279 loss: 0.000182, pauc: 0.918168, paupr: 0.778774, paupr_m: 0.804995, dauc: 0.808604, daupr: 0.323240, daupr_m: 0.327258
Epoch: 289 loss: 0.000181, pauc: 0.918028, paupr: 0.779210, paupr_m: 0.805028, dauc: 0.809780, daupr: 0.324382, daupr_m: 0.333757
Epoch: 299 loss: 0.000181, pauc: 0.918072, paupr: 0.779693, paupr_m: 0.805628, dauc: 0.810885, daupr: 0.325451, daupr_m: 0.334692
Epoch: 309 loss: 0.000181, pauc: 0.918169, paupr: 0.780161, paupr_m: 0.807519, dauc: 0.811924, daupr: 0.327364, daupr_m: 0.334735
Epoch: 319 loss: 0.000180, pauc: 0.918276, paupr: 0.780616, paupr_m: 0.809225, dauc: 0.812899, daupr: 0.328294, daupr_m: 0.337519
Epoch: 329 loss: 0.000180, pauc: 0.918068, paupr: 0.781088, paupr_m: 0.809711, dauc: 0.813818, daupr: 0.329289, daupr_m: 0.341990
Epoch: 339 loss: 0.000180, pauc: 0.917924, paupr: 0.781489, paupr_m: 0.809724, dauc: 0.814695, daupr: 0.330327, daupr_m: 0.343062
Epoch: 349 loss: 0.000179, pauc: 0.918080, paupr: 0.781892, paupr_m: 0.809892, dauc: 0.815566, daupr: 0.331524, daupr_m: 0.345638
Epoch: 359 loss: 0.000179, pauc: 0.917961, paupr: 0.782097, paupr_m: 0.810415, dauc: 0.816396, daupr: 0.332129, daupr_m: 0.348512
Epoch: 369 loss: 0.000178, pauc: 0.918118, paupr: 0.782540, paupr_m: 0.812301, dauc: 0.817103, daupr: 0.333162, daupr_m: 0.353106
Epoch: 379 loss: 0.000178, pauc: 0.918111, paupr: 0.783078, paupr_m: 0.812759, dauc: 0.817813, daupr: 0.333408, daupr_m: 0.353435
Epoch: 389 loss: 0.000178, pauc: 0.917914, paupr: 0.783383, paupr_m: 0.812707, dauc: 0.818515, daupr: 0.334023, daupr_m: 0.353941
Epoch: 399 loss: 0.000178, pauc: 0.918093, paupr: 0.783819, paupr_m: 0.812903, dauc: 0.819152, daupr: 0.334334, daupr_m: 0.354755
Epoch: 409 loss: 0.000177, pauc: 0.918159, paupr: 0.784340, paupr_m: 0.813225, dauc: 0.819730, daupr: 0.334902, daupr_m: 0.354865
Epoch: 419 loss: 0.000177, pauc: 0.918108, paupr: 0.784573, paupr_m: 0.813462, dauc: 0.820309, daupr: 0.335738, daupr_m: 0.355801
Epoch: 429 loss: 0.000177, pauc: 0.918048, paupr: 0.784994, paupr_m: 0.813610, dauc: 0.820858, daupr: 0.336304, daupr_m: 0.356818
Epoch: 439 loss: 0.000177, pauc: 0.917888, paupr: 0.785330, paupr_m: 0.814418, dauc: 0.821395, daupr: 0.336718, daupr_m: 0.357799
