{'epoch': 1000, 'lr': 9e-05, 'wd': 6e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.2, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 59 loss: 0.000098, pauc: 0.934660, paupr: 0.264745, paupr_m: 0.343852, dauc: 0.867909, daupr: 0.294948, daupr_m: 0.349891
Epoch: 69 loss: 0.000079, pauc: 0.932796, paupr: 0.266070, paupr_m: 0.353802, dauc: 0.870392, daupr: 0.298490, daupr_m: 0.344202
Epoch: 79 loss: 0.000066, pauc: 0.928701, paupr: 0.335061, paupr_m: 0.394182, dauc: 0.869634, daupr: 0.290397, daupr_m: 0.335605
Epoch: 89 loss: 0.000057, pauc: 0.925888, paupr: 0.340900, paupr_m: 0.411834, dauc: 0.869932, daupr: 0.293748, daupr_m: 0.339914
Epoch: 99 loss: 0.000050, pauc: 0.922049, paupr: 0.354727, paupr_m: 0.434463, dauc: 0.871282, daupr: 0.298337, daupr_m: 0.344460
Epoch: 109 loss: 0.000045, pauc: 0.939294, paupr: 0.358884, paupr_m: 0.439680, dauc: 0.870836, daupr: 0.293699, daupr_m: 0.346493
Epoch: 119 loss: 0.000041, pauc: 0.910908, paupr: 0.386034, paupr_m: 0.456791, dauc: 0.871156, daupr: 0.301691, daupr_m: 0.352711
Epoch: 129 loss: 0.000038, pauc: 0.929859, paupr: 0.392714, paupr_m: 0.441948, dauc: 0.873428, daupr: 0.306087, daupr_m: 0.352554
Epoch: 139 loss: 0.000035, pauc: 0.915029, paupr: 0.387775, paupr_m: 0.455288, dauc: 0.872296, daupr: 0.298952, daupr_m: 0.352477
Epoch: 149 loss: 0.000034, pauc: 0.904277, paupr: 0.386227, paupr_m: 0.468637, dauc: 0.872624, daupr: 0.295243, daupr_m: 0.351875
Epoch: 159 loss: 0.000033, pauc: 0.928015, paupr: 0.405803, paupr_m: 0.460853, dauc: 0.872054, daupr: 0.298794, daupr_m: 0.351220
Epoch: 169 loss: 0.000031, pauc: 0.933865, paupr: 0.400650, paupr_m: 0.473960, dauc: 0.873564, daupr: 0.306576, daupr_m: 0.361464
Epoch: 179 loss: 0.000031, pauc: 0.930086, paupr: 0.400497, paupr_m: 0.479193, dauc: 0.873360, daupr: 0.300445, daupr_m: 0.358924
Epoch: 189 loss: 0.000029, pauc: 0.933276, paupr: 0.409331, paupr_m: 0.476136, dauc: 0.872526, daupr: 0.305702, daupr_m: 0.360664
Epoch: 199 loss: 0.000028, pauc: 0.940513, paupr: 0.395798, paupr_m: 0.484252, dauc: 0.873189, daupr: 0.303027, daupr_m: 0.360914
Epoch: 209 loss: 0.000028, pauc: 0.923249, paupr: 0.417993, paupr_m: 0.501865, dauc: 0.874779, daupr: 0.309987, daupr_m: 0.364676
Epoch: 219 loss: 0.000027, pauc: 0.939839, paupr: 0.411981, paupr_m: 0.494809, dauc: 0.874695, daupr: 0.308095, daupr_m: 0.368543
Epoch: 229 loss: 0.000026, pauc: 0.929775, paupr: 0.405722, paupr_m: 0.493537, dauc: 0.874355, daupr: 0.303690, daupr_m: 0.369576
Epoch: 239 loss: 0.000026, pauc: 0.925732, paupr: 0.420569, paupr_m: 0.504915, dauc: 0.875412, daupr: 0.311514, daupr_m: 0.367361
Epoch: 249 loss: 0.000025, pauc: 0.928658, paupr: 0.424146, paupr_m: 0.489987, dauc: 0.874173, daupr: 0.308324, daupr_m: 0.371079
Epoch: 259 loss: 0.000025, pauc: 0.935461, paupr: 0.418031, paupr_m: 0.500872, dauc: 0.876590, daupr: 0.316907, daupr_m: 0.376058
Epoch: 269 loss: 0.000024, pauc: 0.924121, paupr: 0.414192, paupr_m: 0.496571, dauc: 0.875838, daupr: 0.309648, daupr_m: 0.375039
Epoch: 279 loss: 0.000025, pauc: 0.942226, paupr: 0.416581, paupr_m: 0.494057, dauc: 0.875868, daupr: 0.313048, daupr_m: 0.374195
Epoch: 289 loss: 0.000024, pauc: 0.932548, paupr: 0.420847, paupr_m: 0.505656, dauc: 0.875317, daupr: 0.313163, daupr_m: 0.374788
Epoch: 299 loss: 0.000024, pauc: 0.924643, paupr: 0.422626, paupr_m: 0.506734, dauc: 0.875719, daupr: 0.314916, daupr_m: 0.382969
Epoch: 309 loss: 0.000023, pauc: 0.919619, paupr: 0.424150, paupr_m: 0.507781, dauc: 0.877280, daupr: 0.330425, daupr_m: 0.382943
Epoch: 319 loss: 0.000023, pauc: 0.931198, paupr: 0.422360, paupr_m: 0.508917, dauc: 0.875793, daupr: 0.314851, daupr_m: 0.381437
Epoch: 329 loss: 0.000023, pauc: 0.924369, paupr: 0.427936, paupr_m: 0.512890, dauc: 0.874859, daupr: 0.315041, daupr_m: 0.380478
Epoch: 339 loss: 0.000022, pauc: 0.921041, paupr: 0.422299, paupr_m: 0.510684, dauc: 0.876355, daupr: 0.326279, daupr_m: 0.382730
Epoch: 349 loss: 0.000023, pauc: 0.925350, paupr: 0.426538, paupr_m: 0.504079, dauc: 0.876824, daupr: 0.323821, daupr_m: 0.386162
Epoch: 359 loss: 0.000023, pauc: 0.919037, paupr: 0.429804, paupr_m: 0.519179, dauc: 0.876732, daupr: 0.324514, daupr_m: 0.384220
Epoch: 369 loss: 0.000022, pauc: 0.927825, paupr: 0.446076, paupr_m: 0.522360, dauc: 0.876858, daupr: 0.324698, daupr_m: 0.386637
Epoch: 379 loss: 0.000022, pauc: 0.917403, paupr: 0.428641, paupr_m: 0.511781, dauc: 0.876927, daupr: 0.328467, daupr_m: 0.386885
Epoch: 389 loss: 0.000021, pauc: 0.924793, paupr: 0.433144, paupr_m: 0.510506, dauc: 0.876343, daupr: 0.325645, daupr_m: 0.389869
Epoch: 399 loss: 0.000022, pauc: 0.926095, paupr: 0.432041, paupr_m: 0.519091, dauc: 0.876604, daupr: 0.320609, daupr_m: 0.392347
